"XDOCK","DATE","YEAR","MONTH","DVS_RECORD_KEY_COUNT"
XD_8145_KS_Topeka.CAPL,2026-07-17,2026,7,290
XD_8131_CO_Denver.ARHG,2026-07-17,2026,7,197
XD_8160_CT_RockyHill.YZER,2026-06-26,2026,6,1
XD_8173_OR_Pendleton.DSOA,2026-06-27,2026,6,85
XD_8155_MD_Annapolis.PXCR,2026-06-09,2026,6,93
XD_8145_SD_Pierre.CAPL,2026-06-09,2026,6,108
XD_8110_CT_Meriden.PXCR,2026-05-28,2026,5,373
XD_8162_IN_SouthBend.YZER,2026-07-23,2026,7,586
XD_8195_FL_Jacksonville.YZER,2026-07-23,2026,7,1109
XD_8144_WI_Sheboygan.MEDD,2026-05-18,2026,5,104
XD_8126_LA_NewOrleans.HDSD,2026-07-28,2026,7,1179
XD_8155_MD_Annapolis.PXCR,2026-08-04,2026,8,41
XD_8180_MT_Missoula.RIDS,2026-08-14,2026,8,307
XD_8148_GA_Macon.MDGA,2026-05-23,2026,5,131
XD_8110_NH_Bedford.PXCR,2026-07-21,2026,7,1588
XD_8160_NY_Cheektowaga.YZER,2026-08-13,2026,8,1
XD_8162_IN_SouthBend.YZER,2026-05-04,2026,5,784
XD_8144_WI_Greenville.YZER,2026-07-13,2026,7,957
XD_8145_ND_Fargo.CAPL,2026-07-13,2026,7,1551
XD_8131_MT_Billings.ARHG,2026-07-22,2026,7,548
XD_8173_OR_CentralPoint.DSOA,2026-06-24,2026,6,4
XD_8110_VT_EssexJunction.PXCR,2026-07-09,2026,7,527
XD_8145_SD_Pierre.CAPL,2026-07-16,2026,7,118
XD_8160_NY_Colonie.AXLG,2026-05-15,2026,5,13
XD_8145_NE_GrandIsland.CAPL,2026-06-04,2026,6,455
XD_8165_TX_Abilene.HDSD,2026-06-04,2026,6,841
XD_8115_TX_Austin.YZER,2026-07-25,2026,7,34
XD_8170_NV_LasVegas.YZER,2026-07-27,2026,7,2
"8144.YZER",2026-08-15,2026,8,6
XD_8165_TX_Lubbock.HDSD,2026-06-12,2026,6,577
XD_8115_TX_SanAntonioHEB.YZER,2026-08-18,2026,8,173
XD_8162_MI_GrandRapids.YZER,2026-05-08,2026,5,711
XD_8195_FL_Ocala.HDSD,2026-08-05,2026,8,350
XD_8165_KS_Hays.CAPL,2026-08-05,2026,8,118
XD_8160_NY_Cheektowaga.YZER,2026-08-05,2026,8,2385
XD_8183_MO_Springfield.CAPL,2026-05-15,2026,5,1584
XD_8173_WA_Spokane.WPXC,2026-05-20,2026,5,1193
XD_8145_WI_EauClaire.CAPL,2026-08-19,2026,8,791
XD_8120_NC_Kinston.YZER,2026-07-03,2026,7,1
XD_8148_GA_Savannah.MDGA,2026-07-04,2026,7,37
XD_8162_PA_Pittsburgh.YZER,2026-07-10,2026,7,6
XD_8183_KS_LeavenworthCMOP.ACKG,2026-07-10,2026,7,138
XD_8165_KS_Wichita.CAPL,2026-07-24,2026,7,678
XD_8145_NE_Norfolk.CAPL,2026-07-24,2026,7,1
XD_8115_LA_BatonRouge.HDSD,2026-08-07,2026,8,862
XD_8183_MO_Springfield.CAPL,2026-08-07,2026,8,1604
XD_8195_FL_Miami.YZER,2026-06-26,2026,6,2168
XD_8165_TX_Abilene.HDSD,2026-06-26,2026,6,981
XD_8160_MA_ChelmsfordCMOP.YZER,2026-06-16,2026,6,323
XD_8145_NE_Omaha.CAPL,2026-07-01,2026,7,1391
XD_8163_TN_Nashville.YZER,2026-07-27,2026,7,2977
XD_8165_TX_Amarillo.HDSD,2026-07-08,2026,7,29
XD_8115_TX_Houston.YZER,2026-07-18,2026,7,172
XD_8170_NV_LasVegas.YZER,2026-07-20,2026,7,1
XD_8195_FL_Miami.YZER,2026-06-27,2026,6,494
XD_8165_KS_Wichita.CAPL,2026-05-21,2026,5,663
XD_8163_KY_Paducah.KBDL,2026-05-18,2026,5,11
XD_8173_WA_Spokane.WPXC,2026-05-27,2026,5,1193
XD_8148_TN_Knoxville.YZER,2026-08-04,2026,8,69
XD_8131_NE_Nebraska.CAPL,2026-06-10,2026,6,89
XD_8165_KS_Hays.CAPL,2026-06-15,2026,6,17
XD_8115_TX_SanAntonioHEB.YZER,2026-07-21,2026,7,84
XD_8162_MI_Grayling.YZER,2026-07-21,2026,7,223
XD_8165_KS_Emporia.CAPL,2026-08-10,2026,8,44
XD_8145_KS_Topeka.CAPL,2026-06-23,2026,6,283
XD_8165_TX_Midland.HDSD,2026-06-23,2026,6,580
XD_8183_KS_LeavenworthCMOP.ACKG,2026-05-06,2026,5,191
XD_8165_AR_Springdale.CAPL,2026-07-07,2026,7,820
XD_8165_TX_Amarillo.HDSD,2026-07-07,2026,7,597
XD_8115_TX_Harlingen.HDSD,2026-07-07,2026,7,919
XD_8148_GA_Albany.MDGA,2026-07-30,2026,7,793
XD_8165_TX_Lubbock.HDSD,2026-07-16,2026,7,543
XD_8145_NE_Norfolk.CAPL,2026-07-16,2026,7,1
XD_8131_CO_ColoradoSprings.ARHG,2026-06-02,2026,6,53
XD_8162_MI_GrandRapids.YZER,2026-08-12,2026,8,641
XD_8183_MO_Springfield.CAPL,2026-06-24,2026,6,1578
XD_8170_AZ_Yuma.AVBV,2026-07-24,2026,7,403
XD_8131_SD_Scottsbluff.CAPL,2026-05-08,2026,5,181
XD_8163_IN_Evansville.KBDL,2026-05-11,2026,5,147
XD_8131_WY_Cheyenne.ARHG,2026-08-05,2026,8,215
XD_8131_SD_RapidCity.CAPL,2026-06-08,2026,6,322
XD_8145_ND_Fargo.CAPL,2026-06-08,2026,6,1481
XD_8165_KS_Parsons.CAPL,2026-06-08,2026,6,162
XD_8163_PA_Pittsburgh.YZER,2026-05-14,2026,5,1397
XD_8173_WA_Spokane.WPXC,2026-08-01,2026,8,123
XD_8131_NE_Nebraska.CAPL,2026-08-17,2026,8,65
XD_8131_NE_Nebraska.CAPL,2026-07-02,2026,7,53
XD_8163_KY_Lexington.KBDL,2026-06-13,2026,6,148
XD_8183_MO_ExpressScripts.FCCI,2026-07-06,2026,7,7
XD_8195_FL_Miami.YZER,2026-08-20,2026,8,5
XD_8115_TX_CorpusChristi.HDSD,2026-06-03,2026,6,377
XD_8126_AL_Mobile.YZER,2026-05-02,2026,5,141
