"ROUTE_YEAR","ROUTE_MONTH","ORIGIN","TOTAL_LEG_MILES","WEIGHTED_MILES_PER_STOP","MEDIAN_ROUTE_DAY_MILES_PER_STOP","P75_MILES_PER_STOP","MAX_MILES_PER_STOP","GEOGRAPHY_MULTIPLIER","ROUTE_DAYS","TOTAL_STOPS"
2026,5,"8130.LYAF",164681.74,256.11,131.84,293.88,1011.95,1.5,147,643
2026,5,XD_8165_TX_Dallas.HDSD,572.96,57.3,57.3,57.3,57.3,1.5,5,10
2026,5,"8155.PXCR",1107.07,50.32,50.32,50.32,50.32,1.5,11,22
2026,5,XD_8170_AZ_Flagstaff.AVBV,62250.05,96.06,44.18,95.79,322.29,1.5,80,648
2026,5,XD_8131_MT_Billings.ARHG,34126.8,36.15,35.66,84.96,432.81,1.5,210,944
2026,5,XD_8131_CO_ColoradoSprings.ARHG,4505.65,34.39,35.65,35.65,35.65,1.5,20,131
2026,5,XD_8170_AZ_WhiteMountain.DSOA,16923.67,31.11,35.39,40.45,77.1,1.5,100,544
2026,5,XD_8145_IA_ClearLake.CAPL,14619.51,29.24,35.03,40.27,45.96,1.5,200,500
2026,5,XD_8162_MI_Grayling.YZER,28336.78,31.42,34.82,36.02,61.73,1.5,200,902
2026,5,XD_8145_SD_Pierre.CAPL,14937.47,33.34,33.6,41.76,62.28,1.5,98,448
2026,5,XD_8145_SD_SiouxFalls.CAPL,21955.89,33.73,32.19,54.21,81.16,1.5,256,651
2026,5,XD_8149_AR_LittleRock.YZER,113519.76,31.45,32.17,49.89,184.89,1.5,443,3610
2026,5,XD_8131_WY_Casper.ARHG,31626.38,31.38,31.93,46.41,62.54,1.5,180,1008
2026,5,"8130.WPXC",4099.24,47.12,30.77,37.03,141.29,1.5,43,87
2026,5,XD_8131_CO_Denver.ARHG,13857.27,28.75,30.7,57.35,69.88,1.5,120,482
2026,5,XD_8165_KS_DodgeCity.CAPL,11791.84,23.97,29.46,35.24,55.72,1.5,133,492
2026,5,"8182.YZER",6169.19,27.3,29.38,33.16,47.06,1.5,82,226
2026,5,XD_8113_NY_Syracuse.YZER,1976.86,30.41,28.83,28.83,55.53,1.5,22,65
2026,5,XD_8110_MA_Franklin.PXCR,2029.77,23.88,27.39,37.16,52.11,1.5,24,85
2026,5,XD_8144_MI_CrystalFalls.YZER,30764.56,70.56,27.08,48.39,247.27,1.5,121,436
2026,5,XD_8145_ND_Minot.CAPL,10418.21,22.65,25.64,32.0,56.02,1.5,111,460
2026,5,XD_8131_CO_Pueblo.YZER,29212.49,32.39,25.04,39.01,86.59,1.5,80,902
2026,5,XD_8163_WV_Nitro.KBDL,68528.5,41.21,24.93,39.44,230.89,1.5,293,1663
2026,5,XD_8165_TX_Amarillo.HDSD,21195.67,16.19,24.91,28.57,52.42,1.5,207,1309
2026,5,XD_8120_MD_Savage.PXCR,35772.34,21.73,23.51,33.69,61.26,1.5,369,1646
2026,5,XD_8120_VA_Roanoke.YZER,23848.91,20.74,23.46,33.74,40.0,1.5,200,1150
2026,5,XD_8131_CO_GrandJunction.ARHG,36261.19,50.08,23.17,48.61,386.63,1.5,180,724
2026,5,XD_8145_KS_Topeka.CAPL,7048.39,14.27,22.19,28.26,46.27,1.5,100,494
