,JOB_ID,ROUTE_ID,CNSLDTN_ID,FILL_DC_CD,DC_CD,ASN_TYPE_CD,ASN_TYPE_DESC,DELIVERY_TYPE,CARRIER_SCAC_NAME,CARRIER_SCAC_CD,DLVRY_ACTL_DATETIME,DELIVERY_SEQ,TOTAL_RATE,TOPSIDE_COST,LASTMILE_TOTAL_COST,LASTMILE_BASE_COST,LASTMILE_FUEL_COST,LASTMILE_MISC_COST,STOP_COUNT_VAL_ROUTE_LVL,TOTE_COUNT_VAL_ROUTE_LVL,STOP_COUNT_VAL,TOTE_COUNT_VAL,ROUTE_COUNT_VAL,DISTANCE_VAL
0,8162-G04-017-286184-260504,8162_G04,C_286184,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,017,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
1,8162-H01-015-444602-260505,8162_H01,C_444763,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-05 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
2,8162-H02-025-134412-260504,8162_H02,C_134412,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,025,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3,8162-G06-020-230842-260504,8162_G06,C_133946,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,020,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
4,8162-G05-045-237260-260504,8162_G05,C_245718,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,045,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
5,8162-H03-020-415745-260504,8162_H03,C_415745,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,020,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
6,Z-3562924,8162_G04,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-04 23:59:59,000,268.23,0.0,268.23,248.0,11.55,8.68,,,,,1.0,1.0
7,8162-H02-020-134501-260504,8162_H02,C_134501,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,020,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
8,8162-H06-010-151574-260505,8162_H06,C_151568,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-05 23:59:59,010,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
9,Z-3592619,8162_HX5,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-13 23:59:59,000,,0.0,,,0.0,,1.0,6.0,1.0,6.0,1.0,1.0
