,JOB_ID,ROUTE_ID,CNSLDTN_ID,FILL_DC_CD,DC_CD,ASN_TYPE_CD,ASN_TYPE_DESC,DELIVERY_TYPE,CARRIER_SCAC_NAME,CARRIER_SCAC_CD,DLVRY_ACTL_DATETIME,DELIVERY_SEQ,TOTAL_RATE,TOPSIDE_COST,LASTMILE_TOTAL_COST,LASTMILE_BASE_COST,LASTMILE_FUEL_COST,LASTMILE_MISC_COST,STOP_COUNT_VAL_ROUTE_LVL,TOTE_COUNT_VAL_ROUTE_LVL,STOP_COUNT_VAL,TOTE_COUNT_VAL,ROUTE_COUNT_VAL,DISTANCE_VAL,helper column,delivery date,year,month,stop helper,dist stop flag,_rc_total,_fm_cnt,cost per stop,cost_per_stop_excl_ts,ts week start,ts week end,ts week,ts key,_ts_stop_eligible,ts daily cons key,ts daily distinct stop flag,_ts_total,_ts_cnt,ts_rate_per_stop,ts cps stop flag,ts_cost_per_stop,delivery stop flag,route_stop_count,fill_dc_stop_count
0,8162-G04-017-286184-260504,8162_G04,C_286184,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,17,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_G04|XD_8162_OH_CLEVELAND.YZER|20260504,2026-05-04,2026,5,8162_G04|XD_8162_OH_CLEVELAND.YZER|20260504|17,1,268.23,8.0,105.7318805903399,33.52875,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,True,XD_8162_OH_CLEVELAND.YZER|20260504|C_286184,1,40361.55,559,72.2031305903399,1,72.2031305903399,1,8,2625
1,8162-H01-015-444602-260505,8162_H01,C_444763,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-05 23:59:59,15,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_H01|XD_8162_OH_CLEVELAND.YZER|20260505,2026-05-05,2026,5,8162_H01|XD_8162_OH_CLEVELAND.YZER|20260505|15,1,246.6,10.0,96.86313059033989,24.66,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,True,XD_8162_OH_CLEVELAND.YZER|20260505|C_444763,1,40361.55,559,72.2031305903399,1,72.2031305903399,1,10,2625
2,8162-H02-025-134412-260504,8162_H02,C_134412,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,25,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_H02|XD_8162_OH_CLEVELAND.YZER|20260504,2026-05-04,2026,5,8162_H02|XD_8162_OH_CLEVELAND.YZER|20260504|25,1,325.13,10.0,104.7161305903399,32.513,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,True,XD_8162_OH_CLEVELAND.YZER|20260504|C_134412,1,40361.55,559,72.2031305903399,1,72.2031305903399,1,10,2625
3,8162-G06-020-230842-260504,8162_G06,C_133946,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,20,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_G06|XD_8162_OH_CLEVELAND.YZER|20260504,2026-05-04,2026,5,8162_G06|XD_8162_OH_CLEVELAND.YZER|20260504|20,1,373.15,6.0,134.39479725700656,62.19166666666666,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,True,XD_8162_OH_CLEVELAND.YZER|20260504|C_133946,1,40361.55,559,72.2031305903399,1,72.2031305903399,1,6,2625
4,8162-G05-045-237260-260504,8162_G05,C_245718,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,45,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_G05|XD_8162_OH_CLEVELAND.YZER|20260504,2026-05-04,2026,5,8162_G05|XD_8162_OH_CLEVELAND.YZER|20260504|45,1,328.8,9.0,108.73646392367323,36.53333333333333,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,True,XD_8162_OH_CLEVELAND.YZER|20260504|C_245718,1,40361.55,559,72.2031305903399,1,72.2031305903399,1,9,2625
5,8162-H03-020-415745-260504,8162_H03,C_415745,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,20,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_H03|XD_8162_OH_CLEVELAND.YZER|20260504,2026-05-04,2026,5,8162_H03|XD_8162_OH_CLEVELAND.YZER|20260504|20,1,293.11,5.0,130.82513059033988,58.622,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,True,XD_8162_OH_CLEVELAND.YZER|20260504|C_415745,1,40361.55,559,72.2031305903399,1,72.2031305903399,1,5,2625
6,Z-3562924,8162_G04,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-04 23:59:59,0,268.23,0.0,268.23,248.0,11.55,8.68,,,,,1.0,1.0,8162_G04|XD_8162_OH_CLEVELAND.YZER|20260504,2026-05-04,2026,5,8162_G04|XD_8162_OH_CLEVELAND.YZER|20260504|RETURN,1,268.23,8.0,0.0,0.0,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,False,,0,40361.55,559,72.2031305903399,0,0.0,0,8,2625
7,8162-H02-020-134501-260504,8162_H02,C_134501,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,20,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_H02|XD_8162_OH_CLEVELAND.YZER|20260504,2026-05-04,2026,5,8162_H02|XD_8162_OH_CLEVELAND.YZER|20260504|20,1,325.13,10.0,104.7161305903399,32.513,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,True,XD_8162_OH_CLEVELAND.YZER|20260504|C_134501,1,40361.55,559,72.2031305903399,1,72.2031305903399,1,10,2625
8,8162-H06-010-151574-260505,8162_H06,C_151568,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-05 23:59:59,10,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_H06|XD_8162_OH_CLEVELAND.YZER|20260505,2026-05-05,2026,5,8162_H06|XD_8162_OH_CLEVELAND.YZER|20260505|10,1,269.99,6.0,117.20146392367323,44.998333333333335,2026-05-04,2026-05-10,2026-05-04 / 2026-05-10,XD_8162_OH_CLEVELAND.YZER|20260504,True,XD_8162_OH_CLEVELAND.YZER|20260505|C_151568,1,40361.55,559,72.2031305903399,1,72.2031305903399,1,6,2625
9,Z-3592619,8162_HX5,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-13 23:59:59,0,0.0,0.0,0.0,,0.0,,1.0,6.0,1.0,6.0,1.0,1.0,8162_HX5|XD_8162_OH_CLEVELAND.YZER|20260513,2026-05-13,2026,5,8162_HX5|XD_8162_OH_CLEVELAND.YZER|20260513|RETURN,1,0.0,0.0,0.0,0.0,2026-05-11,2026-05-17,2026-05-11 / 2026-05-17,XD_8162_OH_CLEVELAND.YZER|20260511,False,,0,39180.62,561,69.84067736185384,0,0.0,0,0,2625
